title,function,function_group,industries,industry_group,cluster
product manager,"product management,marketing","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
head of data science,"management,strategy,planning",Management and Leadership,"it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",2
data warehouse specialist - aarhus,"business development,sales","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
client advisor - denmark (aarhus),"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing",financial services,Financial and Business Services,2
e-commerce category manager- international travel,"marketing,business development,analyst","Management and Leadership, Research and Analysis, Sales and Marketing",travel arrangements,Services and Miscellaneous,2
junior customer marketing manager,"sales,business development","Management and Leadership, Sales and Marketing",personal care product manufacturing,Services and Miscellaneous,2
"area sales manager , medical & healthcare (taiwan or korea)","sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
commercial manager for powerbi solutions,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
🇩🇪 sales development representative (part-time),"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
unsolicited application - sales development representative (full-time) - any language,"sales,business development","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
power platform consultant - aarhus,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
technical product owner / solution architect - service domain,"product management,marketing","Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
business intelligence intern,"business development,sales","Management and Leadership, Sales and Marketing",advertising services,Services and Miscellaneous,2
"business development officer, priority clients","business development,sales","Management and Leadership, Sales and Marketing",banking,Financial and Business Services,2
sales development representative,"sales,business development","Management and Leadership, Sales and Marketing",information services,Services and Miscellaneous,2
(sr.) project coordinator assessment & succession,"consulting,administrative,general business","Administrative and Support, Management and Leadership","human resources services,business consulting,services,events services","Financial and Business Services, Other, Services and Miscellaneous",2
product developer (資料保護與雲端系統開發),"product management,marketing","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
country manager,"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
channel sales manager denmark,"sales,business development","Management and Leadership, Sales and Marketing",human resources services,Financial and Business Services,2
collaboration sales specialist,"sales,business development","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
relationship mgr,"sales,business development","Management and Leadership, Sales and Marketing",banking,Financial and Business Services,2
business programme director,"advertising,customer service,business development","Customer Service, Management and Leadership, Sales and Marketing",advertising services,Services and Miscellaneous,2
consultant / trainer - remote opportunity,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing","staffing,recruiting",Financial and Business Services,2
product manager - machine learning and ai,"product management,marketing","Management and Leadership, Sales and Marketing","it services,it consulting,newspaper publishing,online audio,video media",Services and Miscellaneous,2
product developer (影像監控 ios 影音串流軟體開發),"product management,marketing","Management and Leadership, Sales and Marketing","it services,it consulting",Services and Miscellaneous,2
